"category_id";"product_id"
3;839161
50;546350
50;142164
6;980965
25;151868
18;136051
50;451022
41;379303
21;398114
1274;731189
28;52285
50;593129
40;149548
25;501193
50;823961
26;923367
50;764116
50;278097
47;904825
51;686085
50;388852
50;837552
25;910457
25;881113
42;149691
3;631067
50;280776
3;101235
3;755740
3;644986
3;340780
3;501102
3;948193
4;812969
50;636518
40;98529
1274;886740
40;751813
1274;125557
1274;779752
40;371006
1274;709575
40;128739
1274;900879
40;358572
44;730597
44;494574
41;162414
18;632750
18;535664
28;466518
47;858223
47;724727
26;406731
26;223120
26;576820
25;921028
17;427002
17;58202
17;361959
17;784383
17;475226
49;560249
3;688579
51;322631
41;265598
18;805644
26;818419
26;532476
3;171899
17;850953
7;552973
605;328110
17;130953
29;242197
1258;149431
27;329082
40;849166
40;375999
40;794876
32;153507
32;543378
17;51592
17;740720
31;828819
31;324447
31;993098
30;773537
35;926835
36;983133
36;11660
33;883585
34;58662
34;539098
34;770003
20;650901
20;933746
20;437074
20;722716
20;209264
21;813271
21;505492
21;748458
27;709225
27;377020
27;279048
49;756600
26;301148
26;622808
1274;971475
21;850167
27;328434
27;977227
7;412969
7;731760
7;502974
7;280656
1164;369054
1164;370840
605;390871
20;108555
47;182417
33;82644
21;45492
40;729671
40;907917
1274;968915
41;174519
42;727754
27;851083
49;464497
36;285512
25;504786
35;13675
20;998440
27;128834
27;869589
25;304899
31;811727
35;319691
33;324011
20;448015
27;460072
7;806960
27;312781
36;227018
27;584190
27;131467
17;136252
40;312727
3;93341
47;114185
49;660903
49;653756
22;895426
22;109069
17;287915
20;492179
21;919302
27;507888
51;816693
30;687827
27;993938
42;652688
38;398719
21;698900
31;381110
21;356734
21;968992
27;809594
17;628198
3;614044
31;775417
22;133471
22;207975
965;602852
1274;9396
7;623206
7;236198
33;168270
26;669521
26;336484
40;946001
47;210273
21;597682
26;126103
49;322993
26;533762
26;52728
26;158177
40;965362
26;82408
47;674537
22;366397
40;366671
27;336494
28;351599
28;683494
34;717536
20;980579
30;363502
30;406768
38;493009
49;213220
49;304955
33;949193
965;806942
42;698832
36;354866
30;676366
30;98132
40;76333
50;50011
49;330583
50;605372
26;698253
31;872090
31;332868
18;207466
36;650877
27;620990
18;228682
36;437447
341;71740
18;765518
47;540171
47;233559
47;456023
17;832264
18;564725
20;876094
34;161812
25;147223
40;703941
40;449808
47;878379
18;466236
31;905512
31;468123
49;570661
49;867131
49;12139
47;462389
47;580603
25;772630
31;747622
35;709846
40;505589
17;817605
25;866770
1258;206931
31;674394
50;675240
49;318523
47;653711
50;662850
28;637291
47;829109
7;536841
17;552024
27;9007
32;79254
49;857291
51;289921
51;125581
51;213332
266;409111
18;250802
37;762158
17;453952
17;679646
17;275087
17;79381
22;713952
50;945035
27;904099
1263;33922
1263;951289
1263;783251
7;646625
28;937210
17;431759
35;754114
1221;338743
33;270523
49;258291
49;114114
28;330791
49;372314
49;162874
49;444024
49;677186
49;779804
3;575313
49;393147
3;399244
17;780478
266;362196
32;182980
49;298384
49;876950
27;519002
47;340609
49;425359
20;684686
49;655223
51;213901
1274;562284
50;661186
266;68841
36;530502
57;626288
57;141348
57;860288
57;834198
57;311946
57;920751
57;678386
60;678601
61;439453
57;547688
57;984390
57;403409
57;95972
57;446103
57;627994
61;992210
60;481610
57;566420
57;937926
57;93197
1216;344663
3;346064
1126;13754
50;853555
1126;674095
64;846477
64;786312
31;347251
30;499923
25;523545
29;986205
49;955945
49;881330
22;478350
22;644104
57;809981
38;135924
40;238719
57;313880
29;964769
28;631303
28;896243
631;38364
631;90908
28;318466
22;224751
30;565783
38;417503
34;977327
28;176363
42;319446
71;709948
71;526394
71;63610
71;318801
1258;180193
75;452229
1126;459978
1125;436690
1125;30136
1125;409784
1125;658686
60;918571
1274;200146
40;142738
1125;963798
65;821936
1274;743988
40;429265
40;991221
57;929384
57;732365
57;16322
18;563899
1270;429736
40;460055
49;449308
1274;168829
50;496740
57;736192
28;948398
50;224439
50;25820
6;278535
17;765830
10;415426
6;15596
6;479378
6;954738
28;146162
17;372129
1216;649370
30;388720
40;656392
40;427319
50;42607
1274;147066
1274;530454
18;222036
41;149196
41;601276
26;602232
18;599526
36;979119
29;654901
65;184721
58;650384
57;618141
57;882404
57;161635
57;695928
1221;101208
57;513592
57;269891
57;645523
57;934350
49;35803
77;495368
77;179655
77;649496
49;711055
3;339280
102;953578
50;910863
50;791095
78;289724
78;271819
78;551691
78;844459
31;927028
57;937317
26;435539
49;9308
505;658976
74;753972
74;357841
17;744008
32;905044
18;837834
78;903144
49;433773
17;829257
50;949478
4;516915
57;56521
79;491827
57;241228
57;577288
78;809199
26;478589
62;162977
965;365780
40;151135
49;996113
1269;348584
40;894090
1274;55154
74;942102
40;327252
50;229970
6;705119
47;483730
38;806429
17;524274
1125;18537
1125;435177
78;313545
26;285037
26;853864
26;726807
26;264726
26;301037
26;288649
26;484206
26;117310
26;605106
26;423459
576;5154
26;365035
26;886205
26;835187
26;49201
26;179757
26;352701
26;526679
50;553716
57;213500
57;323018
57;32427
57;248865
57;761299
1274;468276
57;700680
47;750628
49;669525
57;980555
57;706412
51;641846
17;849008
12;951919
1126;920417
88;113050
6;67789
605;717700
6;32312
22;906005
57;350714
1216;870907
57;343989
49;58377
57;228889
41;408733
57;797516
57;803515
57;783260
26;146279
49;533983
51;976676
57;952757
57;146633
57;808135
57;444873
49;895848
40;981572
47;363881
49;847005
19;627615
74;761162
18;87192
18;554956
69;675629
51;718197
605;647465
3;875700
51;548032
69;564354
49;553887
18;600496
49;328128
49;588568
17;134300
49;142115
49;798157
50;951888
51;467873
51;448742
51;319236
51;109318
30;954116
47;325757
50;182737
17;963389
57;738378
57;961824
92;292680
92;424980
42;984592
47;870467
49;425105
51;776544
47;52397
47;626765
47;904631
42;834917
42;370193
57;680013
38;145096
62;599099
18;61305
42;200427
29;285851
50;695750
17;631115
17;803481
92;232370
26;512293
32;470254
